"response","stimuli","participant_id","block"
"left","left",1,1
"right","right",1,1
"down","down",1,1
"right","right",1,1
"up","up",1,1
"down","down",1,1
"right","up",1,1
"down","down",1,1
"right","right",1,1
"up","up",1,1
"up","up",1,1
"left","left",1,1
"down","down",1,1
"left","left",1,1
"left","left",1,1
"right","right",1,1
"right","up",1,2
"no response","left",1,2
"right","right",1,2
"right","right",1,2
"left","left",1,2
"right","right",1,2
"left","left",1,2
"down","down",1,2
"up","up",1,2
"up","up",1,2
"left","left",1,2
"down","down",1,2
"down","down",1,2
"down","down",1,2
"up","up",1,2
"right","right",1,2
"right","right",1,3
"up","up",1,3
"left","left",1,3
"up","up",1,3
"left","left",1,3
"down","down",1,3
"left","left",1,3
"down","down",1,3
"right","right",1,3
"left","left",1,3
"right","right",1,3
"up","up",1,3
"down","down",1,3
"up","up",1,3
"right","right",1,3
"left","down",1,3
"right","right",2,1
"up","up",2,1
"right","right",2,1
"down","down",2,1
"left","left",2,1
"down","down",2,1
"down","down",2,1
"left","left",2,1
"up","up",2,1
"left","left",2,1
"right","right",2,1
"left","left",2,1
"up","up",2,1
"up","up",2,1
"right","right",2,1
"down","down",2,1
"down","down",2,2
"down","down",2,2
"left","left",2,2
"right","right",2,2
"right","right",2,2
"left","left",2,2
"right","right",2,2
"right","right",2,2
"up","up",2,2
"left","left",2,2
"down","down",2,2
"up","up",2,2
"down","down",2,2
"up","up",2,2
"left","left",2,2
"up","up",2,2
"right","right",2,3
"right","right",2,3
"left","left",2,3
"down","down",2,3
"right","right",2,3
"down","down",2,3
"left","left",2,3
"left","left",2,3
"up","up",2,3
"down","down",2,3
"up","up",2,3
"up","up",2,3
"down","down",2,3
"right","right",2,3
"left","left",2,3
"up","up",2,3
"down","down",3,1
"down","down",3,1
"up","up",3,1
"left","left",3,1
"up","up",3,1
"right","right",3,1
"right","right",3,1
"right","right",3,1
"up","up",3,1
"up","up",3,1
"left","left",3,1
"down","down",3,1
"down","down",3,1
"left","left",3,1
"left","left",3,1
"right","right",3,1
"right","right",3,2
"up","up",3,2
"up","up",3,2
"down","down",3,2
"left","left",3,2
"down","down",3,2
"right","right",3,2
"up","up",3,2
"left","left",3,2
"down","down",3,2
"left","left",3,2
"down","down",3,2
"right","right",3,2
"left","left",3,2
"right","right",3,2
"up","up",3,2
"left","left",3,3
"up","up",3,3
"left","left",3,3
"right","right",3,3
"down","down",3,3
"up","up",3,3
"down","down",3,3
"left","left",3,3
"up","up",3,3
"up","up",3,3
"right","right",3,3
"right","right",3,3
"down","down",3,3
"right","right",3,3
"left","left",3,3
"down","down",3,3
"down","down",4,1
"down","down",4,1
"right","right",4,1
"left","left",4,1
"down","down",4,1
"up","up",4,1
"down","down",4,1
"up","up",4,1
"left","left",4,1
"right","right",4,1
"right","right",4,1
"right","right",4,1
"left","left",4,1
"up","up",4,1
"up","up",4,1
"left","left",4,1
"left","left",4,2
"right","right",4,2
"up","up",4,2
"down","down",4,2
"down","down",4,2
"left","left",4,2
"up","up",4,2
"down","down",4,2
"right","right",4,2
"left","left",4,2
"left","left",4,2
"up","up",4,2
"down","down",4,2
"right","right",4,2
"right","right",4,2
"up","up",4,2
"up","up",4,3
"right","right",4,3
"right","right",4,3
"up","up",4,3
"down","down",4,3
"up","up",4,3
"right","right",4,3
"up","up",4,3
"left","left",4,3
"down","down",4,3
"down","down",4,3
"left","left",4,3
"left","left",4,3
"left","left",4,3
"down","down",4,3
"right","right",4,3
"left","left",5,1
"right","up",5,1
"right","up",5,1
"down","right",5,1
"right","up",5,1
"left","left",5,1
"down","right",5,1
"down","down",5,1
"left","left",5,1
"right","up",5,1
"down","down",5,1
"right","right",5,1
"down","down",5,1
"down","down",5,1
"left","left",5,1
"right","right",5,1
"right","right",5,2
"down","down",5,2
"right","right",5,2
"up","up",5,2
"up","up",5,2
"up","up",5,2
"right","right",5,2
"down","down",5,2
"left","left",5,2
"right","right",5,2
"left","left",5,2
"left","left",5,2
"left","left",5,2
"down","down",5,2
"up","up",5,2
"down","down",5,2
"left","left",5,3
"down","down",5,3
"left","left",5,3
"right","right",5,3
"left","left",5,3
"up","up",5,3
"right","right",5,3
"up","up",5,3
"right","right",5,3
"right","right",5,3
"up","up",5,3
"up","up",5,3
"down","down",5,3
"down","down",5,3
"left","left",5,3
"down","down",5,3
"left","left",5,4
"down","down",5,4
"left","left",5,4
"up","up",5,4
"up","up",5,4
"down","down",5,4
"left","left",5,4
"right","right",5,4
"up","up",5,4
"down","down",5,4
"right","right",5,4
"right","right",5,4
"left","left",5,4
"up","up",5,4
"right","right",5,4
"down","down",5,4
"down","right",5,5
"right","right",5,5
"up","up",5,5
"left","left",5,5
"down","down",5,5
"up","up",5,5
"up","up",5,5
"right","right",5,5
"left","left",5,5
"right","right",5,5
"down","down",5,5
"left","left",5,5
"down","down",5,5
"left","left",5,5
"up","up",5,5
"down","down",5,5
"down","down",5,6
"down","down",5,6
"left","left",5,6
"left","left",5,6
"left","left",5,6
"right","right",5,6
"up","up",5,6
"right","right",5,6
"right","right",5,6
"left","left",5,6
"down","down",5,6
"up","up",5,6
"down","down",5,6
"up","up",5,6
"right","right",5,6
"up","up",5,6
"down","down",6,1
"up","up",6,1
"left","left",6,1
"down","down",6,1
"right","right",6,1
"left","left",6,1
"down","down",6,1
"up","up",6,1
"right","right",6,1
"up","up",6,1
"down","down",6,1
"left","left",6,1
"right","right",6,1
"right","right",6,1
"left","left",6,1
"up","up",6,1
"down","down",6,2
"right","right",6,2
"right","right",6,2
"up","up",6,2
"left","left",6,2
"down","down",6,2
"down","down",6,2
"up","up",6,2
"left","left",6,2
"right","right",6,2
"left","left",6,2
"down","down",6,2
"up","up",6,2
"left","left",6,2
"up","up",6,2
"right","right",6,2
"down","down",6,3
"left","left",6,3
"right","right",6,3
"down","down",6,3
"up","up",6,3
"left","left",6,3
"right","right",6,3
"down","down",6,3
"left","left",6,3
"up","up",6,3
"down","down",6,3
"left","left",6,3
"up","up",6,3
"right","right",6,3
"right","right",6,3
"up","up",6,3
"left","left",7,1
"right","right",7,1
"left","left",7,1
"right","right",7,1
"down","down",7,1
"up","up",7,1
"left","left",7,1
"down","down",7,1
"right","right",7,1
"down","down",7,1
"up","up",7,1
"up","up",7,1
"up","up",7,1
"left","left",7,1
"right","right",7,1
"down","down",7,1
"up","up",7,2
"left","left",7,2
"up","up",7,2
"left","left",7,2
"down","down",7,2
"left","left",7,2
"down","down",7,2
"right","right",7,2
"down","down",7,2
"up","up",7,2
"right","right",7,2
"left","left",7,2
"up","up",7,2
"down","down",7,2
"right","right",7,2
"right","right",7,2
"up","up",7,3
"down","down",7,3
"right","right",7,3
"down","down",7,3
"up","up",7,3
"down","down",7,3
"left","left",7,3
"up","up",7,3
"up","up",7,3
"right","right",7,3
"right","right",7,3
"down","down",7,3
"left","left",7,3
"left","left",7,3
"right","right",7,3
"left","left",7,3
"up","up",8,1
"left","left",8,1
"left","left",8,1
"down","right",8,1
"down","down",8,1
"up","up",8,1
"down","down",8,1
"right","right",8,1
"down","down",8,1
"right","right",8,1
"left","left",8,1
"left","left",8,1
"up","up",8,1
"up","up",8,1
"right","right",8,1
"down","down",8,1
"left","left",8,2
"up","up",8,2
"up","up",8,2
"down","down",8,2
"down","down",8,2
"right","right",8,2
"down","down",8,2
"down","down",8,2
"left","left",8,2
"right","right",8,2
"up","up",8,2
"left","left",8,2
"left","left",8,2
"right","right",8,2
"up","up",8,2
"right","right",8,2
"down","down",8,3
"left","left",8,3
"down","down",8,3
"right","right",8,3
"up","up",8,3
"left","left",8,3
"up","up",8,3
"down","down",8,3
"left","left",8,3
"right","right",8,3
"right","right",8,3
"up","up",8,3
"right","right",8,3
"left","left",8,3
"down","down",8,3
"up","up",8,3
"right","right",9,1
"right","right",9,1
"left","left",9,1
"up","up",9,1
"left","left",9,1
"left","left",9,1
"right","right",9,1
"down","down",9,1
"down","down",9,1
"up","up",9,1
"up","up",9,1
"up","up",9,1
"left","left",9,1
"down","down",9,1
"down","down",9,1
"right","right",9,1
"down","down",9,2
"right","right",9,2
"right","right",9,2
"right","right",9,2
"up","up",9,2
"left","left",9,2
"up","up",9,2
"left","left",9,2
"up","up",9,2
"left","left",9,2
"left","left",9,2
"down","down",9,2
"up","up",9,2
"right","right",9,2
"down","down",9,2
"down","down",9,2
"up","up",9,3
"down","down",9,3
"up","up",9,3
"right","right",9,3
"up","up",9,3
"left","left",9,3
"down","right",9,3
"left","left",9,3
"down","down",9,3
"left","left",9,3
"down","down",9,3
"left","left",9,3
"down","down",9,3
"right","right",9,3
"up","up",9,3
"right","right",9,3
"right","right",10,1
"up","up",10,1
"right","up",10,1
"left","left",10,1
"right","up",10,1
"down","right",10,1
"left","left",10,1
"left","left",10,1
"down","down",10,1
"left","left",10,1
"right","right",10,1
"up","up",10,1
"down","down",10,1
"right","right",10,1
"down","down",10,1
"down","down",10,1
"left","left",10,2
"up","down",10,2
"left","left",10,2
"left","left",10,2
"right","right",10,2
"left","left",10,2
"up","up",10,2
"up","up",10,2
"down","down",10,2
"down","down",10,2
"no response","up",10,2
"down","down",10,2
"right","right",10,2
"right","right",10,2
"right","right",10,2
"up","up",10,2
"up","up",10,3
"up","up",10,3
"right","right",10,3
"right","right",10,3
"up","up",10,3
"right","right",10,3
"down","down",10,3
"down","down",10,3
"left","left",10,3
"left","left",10,3
"right","right",10,3
"down","down",10,3
"down","down",10,3
"up","up",10,3
"left","left",10,3
"left","left",10,3
"left","left",10,4
"right","right",10,4
"down","down",10,4
"left","left",10,4
"down","down",10,4
"left","left",10,4
"up","up",10,4
"up","up",10,4
"down","down",10,4
"right","right",10,4
"right","up",10,4
"down","down",10,4
"right","right",10,4
"right","right",10,4
"up","up",10,4
"left","left",10,4
"up","up",10,5
"right","right",10,5
"right","right",10,5
"up","up",10,5
"down","down",10,5
"down","down",10,5
"up","up",10,5
"right","right",10,5
"down","down",10,5
"left","left",10,5
"left","left",10,5
"left","left",10,5
"right","right",10,5
"left","left",10,5
"down","down",10,5
"up","up",10,5
"right","right",10,6
"up","up",10,6
"left","left",10,6
"down","down",10,6
"down","down",10,6
"down","down",10,6
"right","right",10,6
"down","down",10,6
"right","right",10,6
"right","right",10,6
"left","left",10,6
"up","up",10,6
"up","up",10,6
"left","left",10,6
"left","left",10,6
"up","up",10,6
"down","down",11,1
"left","left",11,1
"right","up",11,1
"down","right",11,1
"down","right",11,1
"right","up",11,1
"left","left",11,1
"right","right",11,1
"down","down",11,1
"left","left",11,1
"left","left",11,1
"right","up",11,1
"down","down",11,1
"up","up",11,1
"down","down",11,1
"right","right",11,1
"right","up",11,2
"down","right",11,2
"left","left",11,2
"down","down",11,2
"left","left",11,2
"right","right",11,2
"up","up",11,2
"up","up",11,2
"right","right",11,2
"down","down",11,2
"left","left",11,2
"right","up",11,2
"left","left",11,2
"down","down",11,2
"down","down",11,2
"right","right",11,2
"down","down",11,3
"left","left",11,3
"right","up",11,3
"right","right",11,3
"right","right",11,3
"right","right",11,3
"up","up",11,3
"left","left",11,3
"down","down",11,3
"left","left",11,3
"right","right",11,3
"down","down",11,3
"left","left",11,3
"down","down",11,3
"up","up",11,3
"right","up",11,3
"left","left",11,4
"down","down",11,4
"up","up",11,4
"right","right",11,4
"right","right",11,4
"left","left",11,4
"right","up",11,4
"down","down",11,4
"left","left",11,4
"right","right",11,4
"up","up",11,4
"down","down",11,4
"up","up",11,4
"right","right",11,4
"left","left",11,4
"down","down",11,4
"down","down",11,5
"up","up",11,5
"right","right",11,5
"right","right",11,5
"left","left",11,5
"left","left",11,5
"up","up",11,5
"up","up",11,5
"no response","down",11,5
"left","left",11,5
"down","down",11,5
"up","up",11,5
"down","down",11,5
"right","right",11,5
"left","left",11,5
"right","right",11,5
"down","down",11,6
"left","left",11,6
"right","right",11,6
"left","left",11,6
"down","down",11,6
"down","down",11,6
"up","up",11,6
"left","left",11,6
"down","down",11,6
"up","up",11,6
"right","right",11,6
"up","up",11,6
"up","up",11,6
"right","right",11,6
"left","left",11,6
"right","right",11,6
"up","up",12,1
"down","down",12,1
"down","down",12,1
"left","left",12,1
"right","right",12,1
"down","down",12,1
"right","right",12,1
"right","right",12,1
"down","down",12,1
"up","up",12,1
"left","left",12,1
"left","left",12,1
"left","left",12,1
"up","up",12,1
"up","up",12,1
"right","right",12,1
"right","right",12,2
"down","down",12,2
"left","left",12,2
"right","right",12,2
"down","down",12,2
"up","up",12,2
"right","right",12,2
"up","up",12,2
"right","right",12,2
"down","down",12,2
"up","up",12,2
"up","up",12,2
"left","left",12,2
"down","down",12,2
"left","left",12,2
"left","left",12,2
"right","right",12,3
"right","right",12,3
"down","down",12,3
"left","left",12,3
"right","right",12,3
"down","down",12,3
"up","up",12,3
"left","left",12,3
"left","left",12,3
"left","left",12,3
"down","down",12,3
"up","up",12,3
"down","down",12,3
"up","up",12,3
"up","up",12,3
"right","right",12,3
"right","right",13,1
"right","right",13,1
"up","up",13,1
"up","up",13,1
"down","down",13,1
"down","down",13,1
"down","down",13,1
"left","left",13,1
"left","left",13,1
"left","left",13,1
"right","right",13,1
"up","up",13,1
"left","left",13,1
"up","up",13,1
"right","right",13,1
"down","down",13,1
"up","up",13,2
"up","up",13,2
"right","right",13,2
"left","left",13,2
"right","right",13,2
"down","down",13,2
"no response","left",13,2
"right","right",13,2
"up","up",13,2
"left","left",13,2
"right","right",13,2
"down","down",13,2
"down","down",13,2
"left","left",13,2
"down","down",13,2
"up","up",13,2
"right","right",13,3
"right","right",13,3
"left","left",13,3
"no response","left",13,3
"down","down",13,3
"down","down",13,3
"down","down",13,3
"up","up",13,3
"up","up",13,3
"left","left",13,3
"left","left",13,3
"right","right",13,3
"down","down",13,3
"up","up",13,3
"up","up",13,3
"right","right",13,3
"up","up",14,1
"right","right",14,1
"down","down",14,1
"right","right",14,1
"down","down",14,1
"up","up",14,1
"left","left",14,1
"right","right",14,1
"left","left",14,1
"left","left",14,1
"up","up",14,1
"down","down",14,1
"right","right",14,1
"up","up",14,1
"left","left",14,1
"down","down",14,1
"down","down",14,2
"left","left",14,2
"down","down",14,2
"up","up",14,2
"right","right",14,2
"right","right",14,2
"down","down",14,2
"down","down",14,2
"right","right",14,2
"left","left",14,2
"up","up",14,2
"left","left",14,2
"right","right",14,2
"up","up",14,2
"up","up",14,2
"left","left",14,2
"down","down",14,3
"right","right",14,3
"down","down",14,3
"up","up",14,3
"right","right",14,3
"left","left",14,3
"up","up",14,3
"left","left",14,3
"left","left",14,3
"up","up",14,3
"left","left",14,3
"down","down",14,3
"down","down",14,3
"up","up",14,3
"right","right",14,3
"right","right",14,3
"down","down",15,1
"right","down",15,1
"right","right",15,1
"left","left",15,1
"up","up",15,1
"up","up",15,1
"right","right",15,1
"down","down",15,1
"right","right",15,1
"right","right",15,1
